episode,turns,won,opponent_type,rl_total,rl_action_head,rl_target_head,rl_card_select_head,opp_total,opp_action_head,opp_target_head,opp_card_select_head
92497,14,0,ComputerPlayer7,0,0,0,0,0,0,0,0
92534,10,0,ComputerPlayer7,11,5,6,0,0,0,0,0
92516,10,0,ComputerPlayer7,15,12,0,3,0,0,0,0
92535,16,0,ComputerPlayer7,12,10,2,0,0,0,0,0
92509,16,0,ComputerPlayer7,20,15,5,0,0,0,0,0
92512,12,0,ComputerPlayer7,15,10,0,5,0,0,0,0
92499,10,0,ComputerPlayer7,26,23,2,1,0,0,0,0
92541,12,0,ComputerPlayer7,21,19,2,0,0,0,0,0
92507,16,0,ComputerPlayer7,28,24,0,4,0,0,0,0
92537,10,0,ComputerPlayer7,34,32,2,0,0,0,0,0
92521,12,0,ComputerPlayer7,28,22,1,5,0,0,0,0
92520,18,0,ComputerPlayer7,21,21,0,0,0,0,0,0
92502,12,0,ComputerPlayer7,13,12,1,0,0,0,0,0
92494,17,1,ComputerPlayer7,32,28,2,2,0,0,0,0
92503,11,1,ComputerPlayer7,24,22,2,0,0,0,0,0
92501,14,0,ComputerPlayer7,24,23,1,0,0,0,0,0
92544,18,0,ComputerPlayer7,30,29,1,0,0,0,0,0
92508,11,1,ComputerPlayer7,30,27,3,0,0,0,0,0
92523,14,0,ComputerPlayer7,38,37,1,0,0,0,0,0
92548,10,0,ComputerPlayer7,7,6,0,1,0,0,0,0
92526,16,0,ComputerPlayer7,37,29,3,5,0,0,0,0
92498,10,0,ComputerPlayer7,37,37,0,0,0,0,0,0
92500,17,1,ComputerPlayer7,35,31,2,2,0,0,0,0
92536,12,0,ComputerPlayer7,45,36,8,1,0,0,0,0
92504,17,1,ComputerPlayer7,41,37,3,1,0,0,0,0
92506,16,0,ComputerPlayer7,49,46,3,0,0,0,0,0
92510,14,0,ComputerPlayer7,54,51,3,0,0,0,0,0
92527,14,0,ComputerPlayer7,42,36,6,0,0,0,0,0
92528,17,1,ComputerPlayer7,50,45,3,2,0,0,0,0
92538,15,1,ComputerPlayer7,52,50,2,0,0,0,0,0
92551,12,0,ComputerPlayer7,21,16,5,0,0,0,0,0
92517,18,0,ComputerPlayer7,62,57,2,3,0,0,0,0
92552,13,1,ComputerPlayer7,25,23,2,0,0,0,0,0
92511,21,1,ComputerPlayer7,58,57,1,0,0,0,0,0
92524,20,0,ComputerPlayer7,50,47,3,0,0,0,0,0
92562,12,0,ComputerPlayer7,23,19,4,0,0,0,0,0
92531,10,0,ComputerPlayer7,53,52,1,0,0,0,0,0
92557,16,0,ComputerPlayer7,22,21,1,0,0,0,0,0
92533,22,0,ComputerPlayer7,34,33,1,0,0,0,0,0
92519,22,0,ComputerPlayer7,54,47,3,4,0,0,0,0
92532,24,0,ComputerPlayer7,50,44,6,0,0,0,0,0
92513,20,0,ComputerPlayer7,50,46,4,0,0,0,0,0
92530,20,0,ComputerPlayer7,47,40,5,2,0,0,0,0
92554,17,1,ComputerPlayer7,32,30,2,0,0,0,0,0
92539,28,0,ComputerPlayer7,62,60,1,1,0,0,0,0
92567,14,0,ComputerPlayer7,25,24,0,1,0,0,0,0
92529,14,0,ComputerPlayer7,51,45,3,3,0,0,0,0
92505,18,0,ComputerPlayer7,76,58,5,13,0,0,0,0
92525,16,0,ComputerPlayer7,61,58,3,0,0,0,0,0
92565,15,1,ComputerPlayer7,32,28,0,4,0,0,0,0
92550,12,0,ComputerPlayer7,43,36,3,4,0,0,0,0
92543,18,0,ComputerPlayer7,76,69,6,1,0,0,0,0
92568,16,0,ComputerPlayer7,36,33,1,2,0,0,0,0
92575,10,0,ComputerPlayer7,30,24,6,0,0,0,0,0
92563,22,0,ComputerPlayer7,57,52,5,0,0,0,0,0
92559,22,0,ComputerPlayer7,41,37,3,1,0,0,0,0
92549,20,0,ComputerPlayer7,50,47,3,0,0,0,0,0
92561,20,0,ComputerPlayer7,44,42,2,0,0,0,0,0
92556,24,0,ComputerPlayer7,59,56,3,0,0,0,0,0
92576,23,1,ComputerPlayer7,33,33,0,0,0,0,0,0
92560,16,0,ComputerPlayer7,55,51,4,0,0,0,0,0
92545,15,1,ComputerPlayer7,56,49,6,1,0,0,0,0
92597,12,0,ComputerPlayer7,1,0,1,0,0,0,0,0
92570,18,0,ComputerPlayer7,31,30,1,0,0,0,0,0
92584,12,0,ComputerPlayer7,34,24,0,10,0,0,0,0
92553,18,0,ComputerPlayer7,47,45,2,0,0,0,0,0
92596,14,0,ComputerPlayer7,12,11,1,0,0,0,0,0
92515,24,0,ComputerPlayer7,95,89,5,1,0,0,0,0
92577,20,0,ComputerPlayer7,30,26,4,0,0,0,0,0
